num_episodes_passed,cumulative_reward,episode_length,avg_reward,unclipped_episode_reward,unclipped_average_reward
1,0.0,164,0.0,0.0,0.0
2,2.0,298,1.0,2.0,1.0
3,1.0,237,1.0,1.0,1.0
4,0.0,163,0.75,0.0,0.75
5,1.0,206,0.80000000000000004,1.0,0.8
6,0.0,166,0.66666666666666674,0.0,0.6666666666666667
7,0.0,161,0.57142857142857151,0.0,0.5714285714285715
8,2.0,291,0.75,2.0,0.75
9,2.0,264,0.88888888888888884,2.0,0.8888888888888888
10,2.0,248,1.0,2.0,1.0
11,3.0,371,1.1818181818181819,3.0,1.1818181818181819
12,2.0,252,1.25,2.0,1.25
13,1.0,222,1.2307692307692308,1.0,1.2307692307692308
14,0.0,162,1.142857142857143,0.0,1.142857142857143
15,1.0,207,1.1333333333333335,1.0,1.1333333333333335
16,1.0,227,1.1250000000000002,1.0,1.1250000000000002
17,0.0,176,1.0588235294117649,0.0,1.058823529411765
18,0.0,167,1.0000000000000002,0.0,1.0000000000000002
19,0.0,169,0.94736842105263175,0.0,0.9473684210526317
20,0.0,165,0.90000000000000013,0.0,0.9000000000000001
21,0.0,161,0.85714285714285732,0.0,0.8571428571428573
22,2.0,267,0.90909090909090928,2.0,0.9090909090909093
23,0.0,166,0.86956521739130455,0.0,0.8695652173913045
24,1.0,203,0.87500000000000022,1.0,0.8750000000000002
25,0.0,161,0.84000000000000019,0.0,0.8400000000000002
26,4.0,345,0.96153846153846168,4.0,0.9615384615384617
27,0.0,174,0.92592592592592604,0.0,0.925925925925926
av_max_q,0.018201082042651251
28,3.0,312,1.0,3.0,1.0
29,4.0,369,1.103448275862069,4.0,1.103448275862069
30,1.0,199,1.1000000000000001,1.0,1.1
31,1.0,242,1.0967741935483872,1.0,1.0967741935483872
32,1.0,223,1.0937500000000002,1.0,1.0937500000000002
33,1.0,225,1.0909090909090911,1.0,1.090909090909091
34,0.0,167,1.0588235294117649,0.0,1.058823529411765
35,1.0,200,1.0571428571428574,1.0,1.0571428571428574
36,0.0,165,1.0277777777777781,0.0,1.0277777777777781
37,0.0,170,1.0000000000000004,0.0,1.0000000000000004
38,1.0,226,1.0000000000000004,1.0,1.0000000000000004
39,2.0,266,1.025641025641026,2.0,1.025641025641026
40,0.0,165,1.0000000000000004,0.0,1.0000000000000004
41,0.0,170,0.9756097560975614,0.0,0.9756097560975614
42,0.0,160,0.95238095238095277,0.0,0.9523809523809528
43,1.0,203,0.95348837209302362,1.0,0.9534883720930236
44,0.0,171,0.93181818181818221,0.0,0.9318181818181822
45,2.0,295,0.95555555555555594,2.0,0.9555555555555559
46,1.0,205,0.95652173913043514,1.0,0.9565217391304351
47,0.0,162,0.9361702127659578,0.0,0.9361702127659578
48,4.0,391,1.0000000000000004,4.0,1.0000000000000004
49,2.0,261,1.0204081632653066,2.0,1.0204081632653066
50,4.0,399,1.0800000000000005,4.0,1.0800000000000005
51,2.0,243,1.098039215686275,2.0,1.098039215686275
52,0.0,163,1.0769230769230775,0.0,1.0769230769230775
53,2.0,266,1.0943396226415101,2.0,1.09433962264151
av_max_q,0.018201082042651251
54,0.0,163,1.0740740740740746,0.0,1.0740740740740746
55,2.0,260,1.0909090909090915,2.0,1.0909090909090915
56,1.0,202,1.0892857142857149,1.0,1.0892857142857149
57,0.0,169,1.0701754385964919,0.0,1.070175438596492
58,0.0,171,1.0517241379310351,0.0,1.0517241379310351
59,1.0,206,1.0508474576271194,1.0,1.0508474576271194
60,0.0,170,1.0333333333333341,0.0,1.033333333333334
61,0.0,162,1.0163934426229515,0.0,1.0163934426229515
62,3.0,337,1.0483870967741942,3.0,1.0483870967741942
63,0.0,166,1.0317460317460323,0.0,1.0317460317460323
64,2.0,273,1.0468750000000004,2.0,1.0468750000000004
65,0.0,164,1.0307692307692311,0.0,1.030769230769231
66,1.0,199,1.0303030303030307,1.0,1.0303030303030307
67,1.0,202,1.029850746268657,1.0,1.029850746268657
68,0.0,161,1.0147058823529416,0.0,1.0147058823529416
69,4.0,379,1.0579710144927541,4.0,1.057971014492754
70,0.0,161,1.0428571428571434,0.0,1.0428571428571434
71,2.0,267,1.0563380281690147,2.0,1.0563380281690147
72,1.0,199,1.0555555555555562,1.0,1.0555555555555562
73,0.0,159,1.0410958904109595,0.0,1.0410958904109595
74,1.0,237,1.0405405405405412,1.0,1.0405405405405412
75,0.0,167,1.0266666666666673,0.0,1.0266666666666673
76,3.0,312,1.052631578947369,3.0,1.052631578947369
77,1.0,198,1.0519480519480526,1.0,1.0519480519480526
78,0.0,173,1.0384615384615392,0.0,1.0384615384615392
79,0.0,164,1.0253164556962033,0.0,1.0253164556962033
80,0.0,160,1.0125000000000008,0.0,1.0125000000000008
81,2.0,261,1.0246913580246921,2.0,1.0246913580246921
82,0.0,165,1.0121951219512202,0.0,1.0121951219512202
av_max_q,0.018201082042651251
83,0.0,165,1.0000000000000007,0.0,1.0000000000000007
84,0.0,169,0.9880952380952388,0.0,0.9880952380952388
85,2.0,240,1.0000000000000007,2.0,1.0000000000000007
86,1.0,198,1.0000000000000007,1.0,1.0000000000000007
87,0.0,170,0.98850574712643746,0.0,0.9885057471264375
88,3.0,311,1.0113636363636371,3.0,1.0113636363636371
89,2.0,239,1.0224719101123603,2.0,1.0224719101123603
90,2.0,242,1.0333333333333341,2.0,1.033333333333334
91,2.0,294,1.0439560439560447,2.0,1.0439560439560447
